oa11cd,workers
E00042042,31
E00042043,30
E00042044,59
E00042045,19
E00042046,191
E00042047,383
E00042048,31
E00042049,32
E00042050,391
E00042051,24
E00042052,45
E00042053,10
E00042054,40
E00042055,180
E00042056,25
E00042057,75
E00042058,30
E00042059,156
E00042061,68
E00042062,76
E00042064,40
E00042065,561
E00042066,7
E00042067,31
E00042068,200
E00042069,35
E00042070,18
E00042071,337
E00042072,769
E00042073,18
E00042074,9
E00042075,80
E00042076,25
E00042077,26
E00042078,40
E00042079,8
E00042080,16
E00042081,397
E00042082,1028
E00042083,33
E00042084,24
E00042085,119
E00042086,85
E00042087,15
E00042088,25
E00042089,8
E00042090,28
E00042091,20
E00042092,26
E00042093,12
E00042094,22
E00042095,21
E00042096,15
E00042097,32
E00042099,98
E00042100,131
E00042101,221
E00042102,17
E00042103,10
E00042104,118
E00042106,19
E00042107,2
E00042108,38
E00042109,73
E00042110,142
E00042111,45
E00042112,236
E00042113,59
E00042114,695
E00042115,24
E00042116,50
E00042117,681
E00042118,49
E00042120,21
E00042121,34
E00042122,19
E00042123,21
E00042124,163
E00042125,13
E00042126,1440
E00042127,98
E00042128,40
E00042129,1125
E00042130,13
E00042131,207
E00042132,26
E00042133,16
E00042134,288
E00042135,54
E00042136,12
E00042137,31
E00042138,17
E00042139,724
E00042140,19
E00042141,34
E00042142,25
E00042143,74
E00042144,23
E00042145,14
E00042146,18
E00042147,56
E00042148,23
E00042149,17
E00042150,13
E00042151,23
E00042152,45
E00042153,24
E00042154,21
E00042155,758
E00042156,232
E00042157,34
E00042158,64
E00042159,43
E00042160,15
E00042161,128
E00042162,105
E00042164,31
E00042165,15
E00042166,21
E00042168,31
E00042169,32
E00042170,16
E00042171,33
E00042172,21
E00042173,46
E00042174,121
E00042175,40
E00042176,45
E00042177,30
E00042178,64
E00042179,21
E00042180,60
E00042182,69
E00042183,48
E00042184,23
E00042185,95
E00042186,12
E00042187,54
E00042188,59
E00042189,1154
E00042190,40
E00042191,284
E00042192,16
E00042193,24
E00042194,27
E00042195,367
E00042196,39
E00042197,389
E00042198,23
E00042199,16
E00042200,24
E00042201,152
E00042202,22
E00042203,14
E00042205,560
E00042206,90
E00042207,5420
E00042208,15
E00042209,27
E00042210,17
E00042211,183
E00042212,19
E00042213,39
E00042214,23
E00042215,24
E00042216,51
E00042217,25
E00042218,105
E00042219,29
E00042220,36
E00042221,12
E00042222,15
E00042223,61
E00042224,17
E00042225,34
E00042226,32
E00042227,24
E00042228,26
E00042229,150
E00042230,16
E00042232,36
E00042233,21
E00042234,72
E00042235,17
E00042236,15
E00042237,3
E00042238,22
E00042240,11
E00042241,30
E00042242,16
E00042243,14
E00042244,36
E00042245,31
E00042246,10
E00042247,543
E00042248,20
E00042249,7
E00042250,14
E00042251,13
E00042252,11
E00042253,29
E00042254,84
E00042255,189
E00042256,121
E00042257,9
E00042258,15
E00042259,62
E00042260,20
E00042261,15
E00042262,40
E00042263,122
E00042264,144
E00042265,23
E00042266,83
E00042267,90
E00042268,154
E00042269,48
E00042270,36
E00042271,178
E00042272,313
E00042273,38
E00042274,279
