oa11cd,population
E00042044,246
E00042052,312
E00042054,310
E00042055,331
E00042058,142
E00042042,310
E00042050,370
E00042053,296
E00042056,265
E00042057,401
E00042045,201
E00042059,374
E00042065,390
E00175597,628
E00042046,424
E00042047,352
E00042061,536
E00042062,604
E00042064,291
E00042066,184
E00042043,304
E00042048,351
E00042049,342
E00042051,338
E00042069,342
E00042070,254
E00042071,232
E00042078,223
E00042092,298
E00042067,325
E00042068,328
E00042082,290
E00042083,283
E00042084,214
E00042072,277
E00042073,354
E00042074,247
E00042075,382
E00042076,334
E00042077,208
E00042079,220
E00042080,235
E00042093,227
E00042094,210
E00042096,230
E00042090,294
E00042101,309
E00042103,352
E00042106,343
E00175592,379
E00042081,617
E00042095,260
E00042097,349
E00042099,305
E00042085,237
E00042086,337
E00042091,331
E00042102,427
E00042087,304
E00042088,301
E00042089,175
E00042100,292
E00042104,580
E00042110,232
E00042117,224
E00042120,323
E00042121,268
E00042122,294
E00042123,220
E00042124,171
E00042109,253
E00042116,269
E00042130,262
E00042137,194
E00042138,305
E00042139,212
E00042111,212
E00042112,254
E00042127,324
E00042128,153
E00042129,328
E00042131,235
E00042133,321
E00042114,316
E00042115,364
E00042125,190
E00042126,312
E00042132,239
E00042134,404
E00042136,331
E00042107,300
E00042108,417
E00042113,308
E00042118,492
E00042135,308
E00175550,214
E00175562,436
E00042157,271
E00042158,282
E00042159,297
E00042160,300
E00042161,308
E00042162,278
E00042153,250
E00042154,246
E00042155,275
E00042156,238
E00042164,236
E00042165,286
E00042166,258
E00175572,1285
E00175591,1638
E00175605,195
E00042169,279
E00042170,285
E00042173,312
E00042174,302
E00042176,296
E00042177,247
E00042144,240
E00042145,241
E00042146,297
E00042147,1048
E00042148,296
E00042141,332
E00042143,310
E00042149,311
E00042150,275
E00042140,286
E00042142,318
E00042151,291
E00042152,290
E00042184,376
E00042195,349
E00175565,277
E00175601,140
E00042182,376
E00042191,232
E00042196,320
E00042218,272
E00042222,290
E00042183,321
E00042186,185
E00042187,545
E00042192,232
E00042225,292
E00042185,344
E00042209,159
E00042210,325
E00042217,361
E00042223,314
E00042188,334
E00042193,311
E00042194,323
E00042226,137
E00042227,249
E00042180,505
E00042208,219
E00042213,437
E00042220,329
E00042224,269
E00042190,340
E00042197,242
E00042199,343
E00042200,294
E00042206,257
E00042189,289
E00042198,268
E00042201,295
E00042202,347
E00042207,323
E00042211,254
E00042205,291
E00042212,309
E00042214,281
E00042215,276
E00042219,320
E00042179,230
E00042203,277
E00042216,301
E00042221,200
E00175589,298
E00175590,216
E00042228,807
E00042246,256
E00042251,399
E00042255,337
E00042238,344
E00042247,154
E00042256,328
E00042258,294
E00042261,266
E00042229,255
E00042232,328
E00042234,303
E00042257,255
E00042259,295
E00042230,365
E00042252,185
E00042260,412
E00175599,306
E00042236,211
E00042248,249
E00042249,225
E00042250,228
E00042253,240
E00042233,366
E00042235,308
E00042243,255
E00042244,346
E00042254,272
E00042237,140
E00042240,281
E00042241,223
E00042242,262
E00042245,408
E00042276,356
E00042277,382
E00042282,327
E00042284,426
E00042287,368
E00042262,697
E00042269,495
E00042270,498
E00042278,292
E00042280,670
E00042283,143
E00042271,418
E00042272,621
E00042279,347
E00042285,473
E00042263,281
E00042264,267
E00042265,583
E00042266,588
E00042268,214
E00042274,278
E00042267,539
E00042273,538
E00042275,449
E00042281,333
E00042286,433
E00042288,304
E00042289,250
E00042290,268
E00042294,279
E00042322,259
E00042313,288
E00042315,243
E00042316,333
E00042317,368
E00042321,116
E00042293,276
E00042318,402
E00042319,283
E00042320,243
E00042295,437
E00042299,530
E00042300,272
E00042303,200
E00042306,222
E00042296,260
E00042301,307
E00042304,252
E00042307,325
E00042308,362
E00042291,256
E00042297,271
E00042298,214
E00042302,264
E00042305,285
E00042292,219
E00042309,223
